data,venda,compra
2021-12-30,5.5805,5.5799
2021-12-31,5.5805,5.5799
2022-01-03,5.6309,5.6303
2022-01-04,5.6776,5.677
2022-01-05,5.6628,5.6622
2022-01-06,5.7042,5.7036
2022-01-07,5.6753,5.6747
2022-01-10,5.6736,5.673
2022-01-11,5.6351,5.6345
2022-01-12,5.5611,5.5605
2022-01-13,5.5246,5.524
2022-01-14,5.5349,5.5343
2022-01-17,5.5058,5.5052
2022-01-18,5.5213,5.5207
2022-01-19,5.4978,5.4972
2022-01-20,5.4166,5.416
2022-01-21,5.4401,5.4395
2022-01-24,5.491,5.4904
2022-01-25,5.4971,5.4965
2022-01-26,5.4324,5.4318
2022-01-27,5.3812,5.3806
2022-01-28,5.3954,5.3948
2022-01-31,5.3574,5.3568
2022-02-01,5.281,5.2804
2022-02-02,5.2956,5.295
2022-02-03,5.3025,5.3019
2022-02-04,5.3284,5.3278
2022-02-07,5.2913,5.2907
2022-02-08,5.2699,5.2693
2022-02-09,5.2735,5.2729
2022-02-10,5.2101,5.2095
2022-02-11,5.1987,5.1981
2022-02-14,5.2106,5.21
2022-02-15,5.1881,5.1875
2022-02-16,5.163,5.1624
2022-02-17,5.1565,5.1559
2022-02-18,5.1339,5.1333
2022-02-21,5.0997,5.0991
2022-02-22,5.0611,5.0605
2022-02-23,5.0143,5.0137
2022-02-24,5.1174,5.1168
2022-02-25,5.1394,5.1388
2022-03-02,5.1347,5.1341
2022-03-03,5.0479,5.0473
2022-03-04,5.0758,5.0752
2022-03-07,5.0579,5.0573
2022-03-08,5.0903,5.0897
2022-03-09,5.0094,5.0088
2022-03-10,5.0513,5.0507
2022-03-11,5.0255,5.0249
2022-03-14,5.0647,5.0641
2022-03-15,5.1314,5.1308
2022-03-16,5.1287,5.1281
2022-03-17,5.0764,5.0758
2022-03-18,5.0411,5.0405
2022-03-21,4.9666,4.966
2022-03-22,4.9208,4.9202
2022-03-23,4.8704,4.8698
2022-03-24,4.8067,4.8061
2022-03-25,4.7782,4.7776
2022-03-28,4.7905,4.7899
2022-03-29,4.7486,4.748
2022-03-30,4.7497,4.7491
2022-03-31,4.7378,4.7372
2022-04-01,4.6984,4.6978
2022-04-04,4.6175,4.6169
2022-04-05,4.64,4.6394
2022-04-06,4.6967,4.6961
2022-04-07,4.7422,4.7416
2022-04-08,4.7513,4.7507
2022-04-11,4.7025,4.7019
2022-04-12,4.6483,4.6477
2022-04-13,4.6811,4.6805
2022-04-14,4.7158,4.7152
2022-04-18,4.6746,4.674
2022-04-19,4.6664,4.6658
2022-04-20,4.6397,4.6391
2022-04-22,4.7326,4.732
2022-04-25,4.8818,4.8812
2022-04-26,4.9666,4.966
2022-04-27,5.0167,5.0161
2022-04-28,5.011,5.0104
2022-04-29,4.9191,4.9185
2022-05-02,5.0266,5.026
2022-05-03,5.0167,5.0161
2022-05-04,5.0093,5.0087
2022-05-05,5.0051,5.0045
2022-05-06,5.075,5.0744
2022-05-09,5.134,5.1334
2022-05-10,5.139,5.1384
2022-05-11,5.1244,5.1238
2022-05-12,5.1482,5.1476
2022-05-13,5.1075,5.1069
2022-05-16,5.0666,5.066
2022-05-17,4.9676,4.967
2022-05-18,4.9592,4.9586
2022-05-19,4.9198,4.9192
2022-05-20,4.8777,4.8771
2022-05-23,4.7973,4.7967
2022-05-24,4.8106,4.81
2022-05-25,4.8359,4.8353
2022-05-26,4.7967,4.7961
2022-05-27,4.7434,4.7428
2022-05-30,4.7216,4.721
2022-05-31,4.7289,4.7283
2022-06-01,4.7765,4.7759
2022-06-02,4.7879,4.7873
2022-06-03,4.7956,4.795
2022-06-06,4.7839,4.7833
2022-06-07,4.8909,4.8903
2022-06-08,4.8711,4.8705
2022-06-09,4.8951,4.8945
2022-06-10,4.9836,4.983
2022-06-13,5.1033,5.1027
2022-06-14,5.1203,5.1197
2022-06-15,5.1119,5.1113
2022-06-17,5.1313,5.1307
2022-06-20,5.1641,5.1635
2022-06-21,5.1462,5.1456
2022-06-22,5.1509,5.1503
2022-06-23,5.1833,5.1827
2022-06-24,5.2334,5.2328
2022-06-27,5.2214,5.2208
2022-06-28,5.2179,5.2173
2022-06-29,5.2268,5.2262
2022-06-30,5.238,5.2374
2022-07-01,5.3142,5.3136
2022-07-04,5.3038,5.3032
2022-07-05,5.3899,5.3893
2022-07-06,5.4321,5.4315
2022-07-07,5.364,5.3634
2022-07-08,5.3086,5.308
2022-07-11,5.3477,5.3471
2022-07-12,5.412,5.4114
2022-07-13,5.3992,5.3987
2022-07-14,5.4568,5.4562
2022-07-15,5.4014,5.4008
2022-07-18,5.3675,5.3669
2022-07-19,5.3904,5.3898
2022-07-20,5.4288,5.4282
2022-07-21,5.475,5.4744
2022-07-22,5.4522,5.4516
2022-07-25,5.4144,5.4138
2022-07-26,5.3608,5.3602
2022-07-27,5.3074,5.3068
2022-07-28,5.2149,5.2143
2022-07-29,5.1884,5.1878
2022-08-01,5.1606,5.16
2022-08-02,5.2329,5.2323
2022-08-03,5.2846,5.284
2022-08-04,5.2409,5.2403
2022-08-05,5.2165,5.2159
2022-08-08,5.1247,5.1241
2022-08-09,5.1224,5.1218
2022-08-10,5.0497,5.0491
2022-08-11,5.1127,5.1121
2022-08-12,5.1023,5.1017
2022-08-15,5.0925,5.0919
2022-08-16,5.134,5.1334
2022-08-17,5.1784,5.1779
2022-08-18,5.1773,5.1767
2022-08-19,5.1961,5.1955
2022-08-22,5.1709,5.1703
2022-08-23,5.103,5.1024
2022-08-24,5.105,5.1044
2022-08-25,5.1173,5.1167
2022-08-26,5.0903,5.0897
2022-08-29,5.0428,5.0423
2022-08-30,5.0617,5.0611
2022-08-31,5.179,5.1784
2022-09-01,5.2007,5.2001
2022-09-02,5.1878,5.1872
2022-09-05,5.1686,5.168
2022-09-06,5.2228,5.2222
2022-09-08,5.2155,5.2149
2022-09-09,5.1633,5.1627
2022-09-12,5.1183,5.1177
2022-09-13,5.1794,5.1788
2022-09-14,5.1774,5.1768
2022-09-15,5.2211,5.2205
2022-09-16,5.2882,5.2876
2022-09-19,5.2367,5.2361
2022-09-20,5.1705,5.1699
2022-09-21,5.1692,5.1686
2022-09-22,5.1677,5.1671
2022-09-23,5.2257,5.2251
2022-09-26,5.3548,5.3542
2022-09-27,5.3508,5.3502
2022-09-28,5.3594,5.3588
2022-09-29,5.3916,5.391
2022-09-30,5.4066,5.406
2022-10-03,5.2002,5.1996
2022-10-04,5.1411,5.1405
2022-10-05,5.2144,5.2138
2022-10-06,5.2009,5.2002
2022-10-07,5.2221,5.2215
2022-10-10,5.1941,5.1935
2022-10-11,5.2068,5.2061
2022-10-13,5.3017,5.3011
2022-10-14,5.2824,5.2818
2022-10-17,5.2713,5.2707
2022-10-18,5.2697,5.2691
2022-10-19,5.2808,5.2802
2022-10-20,5.2176,5.217
2022-10-21,5.1919,5.1913
2022-10-24,5.2744,5.2738
2022-10-25,5.3091,5.3085
2022-10-26,5.3248,5.3242
2022-10-27,5.3003,5.2997
2022-10-28,5.3454,5.3449
2022-10-31,5.257,5.2564
2022-11-01,5.15,5.1494
2022-11-03,5.1349,5.1343
2022-11-04,5.036,5.0354
2022-11-07,5.0886,5.088
2022-11-08,5.1744,5.1738
2022-11-09,5.1629,5.1623
2022-11-10,5.3064,5.3058
2022-11-11,5.3051,5.3045
2022-11-14,5.3013,5.3007
2022-11-16,5.3204,5.3198
2022-11-17,5.4655,5.4649
2022-11-18,5.3477,5.3471
2022-11-21,5.3259,5.3253
2022-11-22,5.3339,5.3333
2022-11-23,5.393,5.3924
2022-11-24,5.3149,5.3143
2022-11-25,5.3508,5.3502
2022-11-28,5.3796,5.3791
2022-11-29,5.3076,5.307
2022-11-30,5.2941,5.2935
2022-12-01,5.1948,5.1942
2022-12-02,5.1974,5.1968
2022-12-05,5.2464,5.2457
2022-12-06,5.2396,5.239
2022-12-07,5.2208,5.2202
2022-12-08,5.2091,5.2085
2022-12-09,5.2396,5.239
2022-12-12,5.3066,5.306
2022-12-13,5.2669,5.2663
2022-12-14,5.3406,5.34
2022-12-15,5.3183,5.3177
2022-12-16,5.2806,5.2801
2022-12-19,5.316,5.3154
2022-12-20,5.2427,5.2421
2022-12-21,5.2031,5.2025
2022-12-22,5.1871,5.1865
2022-12-23,5.1445,5.1439
2022-12-26,5.1872,5.1866
2022-12-27,5.2832,5.2826
2022-12-28,5.2736,5.273
2022-12-29,5.2177,5.2171
2022-12-30,5.2177,5.2171
2023-01-02,5.3436,5.343
2023-01-03,5.3759,5.3753
2023-01-04,5.4459,5.4453
2023-01-05,5.4026,5.402
2023-01-06,5.2855,5.2849
2023-01-09,5.2967,5.2961
2023-01-10,5.2395,5.2389
2023-01-11,5.202,5.2014
2023-01-12,5.14,5.1394
2023-01-13,5.1146,5.114
2023-01-16,5.1115,5.1109
2023-01-17,5.1203,5.1197
2023-01-18,5.0909,5.0903
2023-01-19,5.2144,5.2138
2023-01-20,5.1986,5.198
2023-01-23,5.1922,5.1916
2023-01-24,5.1696,5.169
2023-01-25,5.1042,5.1036
2023-01-26,5.0951,5.0945
2023-01-27,5.0767,5.0761
2023-01-30,5.0959,5.0953
2023-01-31,5.0993,5.0987
2023-02-01,5.0721,5.0715
2023-02-02,4.9901,4.9895
2023-02-03,5.103,5.1024
2023-02-06,5.1763,5.1757
2023-02-07,5.1695,5.1689
2023-02-08,5.2036,5.203
2023-02-09,5.2315,5.2309
2023-02-10,5.2526,5.252
2023-02-13,5.1834,5.1828
2023-02-14,5.1507,5.1501
2023-02-15,5.2243,5.2237
2023-02-16,5.2432,5.2426
2023-02-17,5.2012,5.2006
2023-02-22,5.173,5.1724
2023-02-23,5.133,5.1324
2023-02-24,5.1791,5.1785
2023-02-27,5.196,5.1954
2023-02-28,5.2078,5.2072
2023-03-01,5.207,5.2064
2023-03-02,5.208,5.2074
2023-03-03,5.2037,5.2031
2023-03-06,5.197,5.1964
2023-03-07,5.1901,5.1895
2023-03-08,5.1387,5.1381
2023-03-09,5.1353,5.1347
2023-03-10,5.1822,5.1816
2023-03-13,5.24,5.2394
2023-03-14,5.2362,5.2356
2023-03-15,5.2981,5.2975
2023-03-16,5.2892,5.2886
2023-03-17,5.2679,5.2673
2023-03-20,5.2467,5.2461
2023-03-21,5.2444,5.2438
2023-03-22,5.2648,5.2642
2023-03-23,5.2632,5.2626
2023-03-24,5.2921,5.2915
2023-03-27,5.2306,5.23
2023-03-28,5.1733,5.1727
2023-03-29,5.1493,5.1487
2023-03-30,5.1254,5.1248
2023-03-31,5.0804,5.0798
2023-04-03,5.0637,5.0631
2023-04-04,5.0762,5.0756
2023-04-05,5.0447,5.0441
2023-04-06,5.0683,5.0677
2023-04-10,5.0834,5.0828
2023-04-11,5.0128,5.0122
2023-04-12,4.9496,4.949
2023-04-13,4.9097,4.9091
2023-04-14,4.9455,4.9449
2023-04-17,4.9421,4.9415
2023-04-18,4.9678,4.9672
2023-04-19,5.0467,5.0461
2023-04-20,5.0497,5.0491
2023-04-24,5.0595,5.0589
2023-04-25,5.0613,5.0607
2023-04-26,5.0585,5.0579
2023-04-27,5.015,5.0144
2023-04-28,5.0007,5.0001
2023-05-02,5.0334,5.0329
2023-05-03,5.0227,5.0221
2023-05-04,5.0106,5.01
2023-05-05,4.9696,4.969
2023-05-08,4.9696,4.969
2023-05-09,5.0007,5.0001
2023-05-10,4.9547,4.9541
2023-05-11,4.9696,4.969
2023-05-12,4.9234,4.9228
2023-05-15,4.9103,4.9097
2023-05-16,4.9122,4.9116
2023-05-17,4.9513,4.9507
2023-05-18,4.9647,4.9641
2023-05-19,4.9858,4.9852
2023-05-22,4.968,4.9674
2023-05-23,4.9674,4.9668
2023-05-24,4.9474,4.9468
2023-05-25,4.999,4.9984
2023-05-26,5.0114,5.0108
2023-05-29,4.9954,4.9948
2023-05-30,5.0593,5.0587
2023-05-31,5.0959,5.0953
2023-06-01,5.035,5.0344
2023-06-02,4.9558,4.9552
2023-06-05,4.9236,4.923
2023-06-06,4.9292,4.9286
2023-06-07,4.9119,4.9113
2023-06-09,4.8922,4.8916
2023-06-12,4.8832,4.8826
2023-06-13,4.8533,4.8527
2023-06-14,4.8462,4.8456
2023-06-15,4.8222,4.8216
2023-06-16,4.8286,4.828
2023-06-19,4.7803,4.7797
2023-06-20,4.793,4.7924
2023-06-21,4.7795,4.7789
2023-06-22,4.775,4.7744
2023-06-23,4.7799,4.7793
2023-06-26,4.7698,4.7692
2023-06-27,4.7903,4.7897
2023-06-28,4.8563,4.8557
2023-06-29,4.8584,4.8578
2023-06-30,4.8192,4.8186
2023-07-03,4.7876,4.787
2023-07-04,4.8056,4.805
2023-07-05,4.8577,4.8571
2023-07-06,4.8977,4.8971
2023-07-07,4.8799,4.8793
2023-07-10,4.8735,4.8729
2023-07-11,4.8949,4.8943
2023-07-12,4.8058,4.8052
2023-07-13,4.8038,4.8032
2023-07-14,4.7957,4.7951
2023-07-17,4.8302,4.8296
2023-07-18,4.804,4.8034
2023-07-19,4.8,4.7994
2023-07-20,4.7888,4.7882
2023-07-21,4.7732,4.7726
2023-07-24,4.7457,4.7451
2023-07-25,4.7496,4.749
2023-07-26,4.7368,4.7362
2023-07-27,4.7202,4.7196
2023-07-28,4.7253,4.7247
2023-07-31,4.7415,4.7409
2023-08-01,4.7752,4.7746
2023-08-02,4.8083,4.8077
2023-08-03,4.8797,4.8791
2023-08-04,4.8609,4.8603
2023-08-07,4.901,4.9004
2023-08-08,4.9217,4.9211
2023-08-09,4.9015,4.9009
2023-08-10,4.8518,4.8512
2023-08-11,4.8918,4.8912
2023-08-14,4.9481,4.9475
2023-08-15,4.9812,4.9806
2023-08-16,4.9772,4.9765
2023-08-17,4.9816,4.981
2023-08-18,4.9724,4.9718
2023-08-21,4.9847,4.9841
2023-08-22,4.9431,4.9425
2023-08-23,4.8977,4.8971
2023-08-24,4.8748,4.8742
2023-08-25,4.8772,4.8766
2023-08-28,4.8938,4.8933
2023-08-29,4.8706,4.87
2023-08-30,4.8653,4.8647
2023-08-31,4.9219,4.9213
2023-09-01,4.9318,4.9312
2023-09-04,4.9176,4.917
2023-09-05,4.9705,4.9699
2023-09-06,4.9762,4.9756
2023-09-08,4.9835,4.9829
2023-09-11,4.9366,4.936
2023-09-12,4.9505,4.9499
2023-09-13,4.9171,4.9165
2023-09-14,4.8751,4.8745
2023-09-15,4.8689,4.8683
2023-09-18,4.8535,4.8529
2023-09-19,4.8575,4.8569
2023-09-20,4.8487,4.8481
2023-09-21,4.9229,4.9223
2023-09-22,4.9131,4.9125
2023-09-25,4.9606,4.96
2023-09-26,4.9717,4.9711
2023-09-27,5.0289,5.0283
2023-09-28,5.0475,5.0469
2023-09-29,5.0076,5.007
2023-10-02,5.0679,5.0673
2023-10-03,5.11,5.1094
2023-10-04,5.1526,5.152
2023-10-05,5.1713,5.1707
2023-10-06,5.1918,5.1912
2023-10-09,5.1666,5.166
2023-10-10,5.0862,5.0856
2023-10-11,5.0496,5.049
2023-10-13,5.0625,5.0619
2023-10-16,5.0618,5.0612
2023-10-17,5.0384,5.0378
2023-10-18,5.0568,5.0562
2023-10-19,5.054,5.0534
2023-10-20,5.0528,5.0522
2023-10-23,5.0164,5.0158
2023-10-24,5.0065,5.0059
2023-10-25,4.9981,4.9975
2023-10-26,5.0055,5.0049
2023-10-27,4.948,4.9474
2023-10-30,5.0074,5.0068
2023-10-31,5.0575,5.0569
2023-11-01,5.0194,5.0188
2023-11-03,4.891,4.8904
2023-11-06,4.8999,4.8993
2023-11-07,4.867,4.8664
2023-11-08,4.8855,4.8849
2023-11-09,4.9007,4.9001
2023-11-10,4.9219,4.9213
2023-11-13,4.9247,4.924
2023-11-14,4.8682,4.8676
2023-11-16,4.8575,4.8569
2023-11-17,4.8849,4.8843
2023-11-20,4.8723,4.8717
2023-11-21,4.8806,4.88
2023-11-22,4.8968,4.8962
2023-11-23,4.8931,4.8925
2023-11-24,4.8927,4.8921
2023-11-27,4.8951,4.8945
2023-11-28,4.8867,4.8861
2023-11-29,4.8933,4.8927
2023-11-30,4.9355,4.9349
2023-12-01,4.9191,4.9185
2023-12-04,4.9091,4.9085
2023-12-05,4.9522,4.9516
2023-12-06,4.9031,4.9025
2023-12-07,4.8949,4.8943
2023-12-08,4.9158,4.9152
2023-12-11,4.944,4.9434
2023-12-12,4.9476,4.947
2023-12-13,4.958,4.9573
2023-12-14,4.8912,4.8906
2023-12-15,4.9397,4.9391
2023-12-18,4.9399,4.9393
2023-12-19,4.8663,4.8657
2023-12-20,4.8766,4.876
2023-12-21,4.8755,4.8749
2023-12-22,4.8619,4.8613
2023-12-26,4.8368,4.8362
2023-12-27,4.8306,4.83
2023-12-28,4.8413,4.8407
2023-12-29,4.8413,4.8407
2024-01-02,4.8916,4.891
2024-01-03,4.9212,4.9206
2024-01-04,4.9188,4.9182
2024-01-05,4.8899,4.8893
2024-01-08,4.885,4.8844
2024-01-09,4.8937,4.8931
2024-01-10,4.8901,4.8895
2024-01-11,4.8794,4.8788
2024-01-12,4.8543,4.8537
2024-01-15,4.8765,4.8759
2024-01-16,4.9038,4.9032
2024-01-17,4.9346,4.934
2024-01-18,4.9403,4.9397
2024-01-19,4.9223,4.9217
2024-01-22,4.949,4.9484
2024-01-23,4.9715,4.9709
2024-01-24,4.9192,4.9186
2024-01-25,4.9232,4.9226
2024-01-26,4.9125,4.9119
2024-01-29,4.9225,4.9219
2024-01-30,4.9638,4.9632
2024-01-31,4.9535,4.9529
2024-02-01,4.935,4.9344
2024-02-02,4.9471,4.9465
2024-02-05,5.0053,5.0047
2024-02-06,4.9687,4.9681
2024-02-07,4.9608,4.9602
2024-02-08,4.9804,4.9798
2024-02-09,4.9717,4.9711
2024-02-14,4.9723,4.9717
2024-02-15,4.971,4.9704
2024-02-16,4.9761,4.9755
2024-02-19,4.9585,4.9579
2024-02-20,4.9408,4.9402
2024-02-21,4.9303,4.9297
2024-02-22,4.9419,4.9413
2024-02-23,4.9851,4.9845
2024-02-26,4.9819,4.9813
2024-02-27,4.9575,4.9569
2024-02-28,4.9557,4.9551
2024-02-29,4.9833,4.9827
2024-03-01,4.9596,4.959
2024-03-04,4.9475,4.9469
2024-03-05,4.9488,4.9482
2024-03-06,4.9398,4.9392
2024-03-07,4.9364,4.9358
2024-03-08,4.9751,4.9745
2024-03-11,4.9777,4.9771
2024-03-12,4.9813,4.9807
2024-03-13,4.9803,4.9797
2024-03-14,4.9768,4.9762
2024-03-15,4.9937,4.9931
2024-03-18,5.0124,5.0118
2024-03-19,5.0352,5.0346
2024-03-20,5.012,5.0114
2024-03-21,4.9807,4.9801
2024-03-22,4.9897,4.9891
2024-03-25,4.9869,4.9863
2024-03-26,4.987,4.9864
2024-03-27,4.9856,4.985
2024-03-28,4.9962,4.9956
2024-04-01,5.0532,5.0526
2024-04-02,5.0476,5.0469
2024-04-03,5.0724,5.0718
2024-04-04,5.0237,5.0231
2024-04-05,5.052,5.0514
2024-04-08,5.0421,5.0415
2024-04-09,5.008,5.0074
2024-04-10,5.0654,5.0648
2024-04-11,5.0765,5.0759
2024-04-12,5.1364,5.1358
2024-04-15,5.1746,5.174
2024-04-16,5.2635,5.2628
2024-04-17,5.2469,5.2463
2024-04-18,5.2512,5.2506
2024-04-19,5.2269,5.2263
2024-04-22,5.2043,5.2037
2024-04-23,5.1626,5.162
2024-04-24,5.1592,5.1586
2024-04-25,5.1679,5.1673
2024-04-26,5.1184,5.1178
2024-04-29,5.1155,5.1149
2024-04-30,5.1718,5.1712
2024-05-02,5.1184,5.1178
2024-05-03,5.0668,5.0662
2024-05-06,5.0727,5.0721
2024-05-07,5.061,5.0604
2024-05-08,5.0887,5.0881
2024-05-09,5.1577,5.1571
2024-05-10,5.1464,5.1458
2024-05-13,5.1412,5.1406
2024-05-14,5.1356,5.135
2024-05-15,5.1423,5.1417
2024-05-16,5.127,5.1264
2024-05-17,5.1157,5.1151
2024-05-20,5.1085,5.1079
2024-05-21,5.1037,5.1031
2024-05-22,5.1502,5.1496
2024-05-23,5.1443,5.1437
2024-05-24,5.1508,5.1502
2024-05-27,5.1704,5.1698
2024-05-28,5.1538,5.1532
2024-05-29,5.1972,5.1966
2024-05-31,5.2416,5.241
2024-06-03,5.2373,5.2367
2024-06-04,5.2687,5.2681
2024-06-05,5.2841,5.2835
2024-06-06,5.2681,5.2675
2024-06-07,5.2802,5.2796
2024-06-10,5.3666,5.366
2024-06-11,5.3524,5.3519
2024-06-12,5.3891,5.3885
2024-06-13,5.3974,5.3968
2024-06-14,5.363,5.3624
2024-06-17,5.413,5.4124
2024-06-18,5.4074,5.4068
2024-06-19,5.4647,5.4641
2024-06-20,5.4254,5.4248
2024-06-21,5.4416,5.441
2024-06-24,5.4,5.3994
2024-06-25,5.429,5.4283
2024-06-26,5.5097,5.5091
2024-06-27,5.5229,5.5223
2024-06-28,5.5589,5.5583
2024-07-01,5.5893,5.5887
2024-07-02,5.6677,5.6671
2024-07-03,5.5863,5.5857
2024-07-04,5.4839,5.4833
2024-07-05,5.497,5.4964
2024-07-08,5.472,5.4714
2024-07-09,5.4387,5.4381
2024-07-10,5.3967,5.3961
2024-07-11,5.41,5.4094
2024-07-12,5.4529,5.4523
2024-07-15,5.4563,5.4557
2024-07-16,5.4274,5.4268
2024-07-17,5.467,5.4664
2024-07-18,5.5426,5.542
2024-07-19,5.5543,5.5537
2024-07-22,5.5598,5.5592
2024-07-23,5.5807,5.5801
2024-07-24,5.6346,5.634
2024-07-25,5.6402,5.6396
2024-07-26,5.6465,5.6459
2024-07-29,5.6479,5.6473
2024-07-30,5.6532,5.6526
2024-07-31,5.6621,5.6615
2024-08-01,5.6681,5.6675
2024-08-02,5.7366,5.736
2024-08-05,5.7646,5.764
2024-08-06,5.6528,5.6522
2024-08-07,5.6093,5.6087
2024-08-08,5.6172,5.6166
2024-08-09,5.5115,5.5109
2024-08-12,5.4911,5.4905
2024-08-13,5.4875,5.4869
2024-08-14,5.4502,5.4496
2024-08-15,5.4651,5.4645
2024-08-16,5.4632,5.4626
2024-08-19,5.4237,5.4231
2024-08-20,5.4547,5.4541
2024-08-21,5.4707,5.4701
2024-08-22,5.5524,5.5518
2024-08-23,5.5263,5.5257
2024-08-26,5.4921,5.4915
2024-08-27,5.4969,5.4963
2024-08-28,5.5315,5.5309
2024-08-29,5.6358,5.6352
2024-08-30,5.6562,5.6556
2024-09-02,5.623,5.6224
2024-09-03,5.6224,5.6218
2024-09-04,5.6359,5.6353
2024-09-05,5.6049,5.6043
2024-09-06,5.5702,5.5696
